date,cases_new,tests_total,icu_covid,positivity_rate,positivity_rate_7d
2024-02-22,130,2075,3,0.06265060240963856,0.05758205353269923
2024-02-23,118,1646,3,0.07168894289185905,0.05730055981163557
2024-02-24,97,1635,3,0.05932721712538226,0.056179985207165925
2024-02-25,74,2473,3,0.029923170238576626,0.05306152742504877
2024-02-26,70,2449,3,0.028583095140873826,0.05087523425439886
2024-02-27,103,2412,4,0.042703150912106136,0.04903590905093511
2024-02-28,132,2933,4,0.04500511421752472,0.048554470419423026
2024-02-29,109,1784,1,0.06109865470852018,0.04833276360497755
2024-03-01,94,1272,2,0.07389937106918239,0.04864853905888088
2024-03-02,63,1423,1,0.04427266338721012,0.04649788852485629
2024-03-03,62,2363,2,0.026237833262801522,0.04597141181403127
2024-03-04,66,2109,2,0.031294452347083924,0.04635874855777557
2024-03-05,93,1977,2,0.04704097116843703,0.04697843716582284
2024-03-07,123,1682,1,0.07312722948870393,0.05099588220456273
2024-03-08,74,1277,1,0.05794831636648395,0.05054583386998612
2024-03-09,65,1380,1,0.04710144927536232,0.04671755932801182
2024-03-10,51,2159,1,0.023622047244094488,0.04376747130756674
2024-03-11,49,2015,1,0.024317617866004962,0.04349315482231008
2024-03-12,94,1932,1,0.048654244306418216,0.04597312510221498
2024-03-13,106,2185,1,0.04851258581235698,0.046183355765632116
2024-03-14,117,1548,1,0.0755813953488372,0.046533950888508306
2024-03-15,94,1215,3,0.07736625514403292,0.04930794214244388
2024-03-16,82,1510,2,0.054304635761589407,0.050336968783333456
2024-03-17,68,2325,1,0.02924731182795699,0.05114057800959953
2024-03-18,47,2089,2,0.022498803255146003,0.050880747350905385
2024-03-19,82,1994,2,0.041123370110330994,0.04980490818003579
2024-03-20,97,1821,2,0.05326743547501373,0.05048417241755818
2024-03-21,88,1852,0,0.047516198704103674,0.04647485861116767
2024-03-22,74,537,0,0.1378026070763501,0.05510862317292727
2024-03-23,56,729,0,0.07681755829903979,0.05832475496399161
2024-03-24,69,2043,0,0.033773861967694566,0.05897140498395413
2024-03-25,44,1939,0,0.022692109334708613,0.05899902013817736
2024-03-26,74,1837,0,0.040283070223189985,0.0588789772971572
2024-03-27,77,1459,0,0.05277587388622344,0.05880875421304431
2024-03-28,46,1390,0,0.033093525179856115,0.056748372281008944
2024-03-29,60,1097,0,0.054694621695533276,0.04487580294089226
2024-03-30,51,1205,0,0.04232365145228216,0.039948101962784026
2024-04-01,49,1764,1,0.027777777777777776,0.03909151850708163
2024-04-02,54,1608,1,0.033582089552238806,0.0406472299667288
2024-04-03,104,1862,1,0.055853920515574654,0.042871637151355176
2024-04-04,105,1552,0,0.06765463917525773,0.04499717504978865
2024-04-05,83,851,0,0.09753231492361927,0.05420271644175482
2024-04-06,63,917,0,0.06870229007633588,0.056203811924726614
2024-04-07,39,1520,0,0.025657894736842105,0.05382298953680661
2024-04-08,43,1142,0,0.03765323992994746,0.055233769844259414
2024-04-09,44,655,0,0.06717557251908397,0.06003283883952302
2024-04-10,40,948,0,0.04219409282700422,0.058081434884012954
2024-04-11,31,1092,1,0.028388278388278388,0.05247195477158733
2024-04-12,22,1028,1,0.021400778210116732,0.04159602095537268
2024-04-13,27,1366,0,0.019765739385065886,0.03460508514233411
2024-04-14,28,2301,0,0.012168622338113864,0.032678046228230076
2024-04-15,60,2266,0,0.0264783759929391,0.03108163709437174
2024-04-16,110,2004,1,0.054890219560878244,0.029326586671770922
2024-04-17,125,2514,3,0.049721559268098646,0.0304019390204987
2024-04-18,134,1793,3,0.0747350808700502,0.037022910803608956
2024-04-19,135,1083,3,0.12465373961218837,0.051773333861047766
2024-04-20,118,1392,3,0.08477011494252873,0.0610596732263996
2024-04-21,74,2269,3,0.03261348611723226,0.06398036805198794
2024-04-22,68,1905,3,0.03569553805774278,0.06529710548981703
2024-04-23,127,1888,1,0.06726694915254237,0.06706520971719764
2024-04-24,134,1829,3,0.07326407873154729,0.07042842678340458
2024-04-25,147,1428,3,0.10294117647058823,0.07445786901205287
2024-04-26,98,541,2,0.18114602587800369,0.08252819562145507
2024-04-27,86,1288,2,0.06677018633540373,0.07995677724900863
2024-04-28,84,2005,3,0.041895261845386535,0.08128274521017352
2024-04-29,71,1723,3,0.0412071967498549,0.0820701250233324
2024-04-30,118,1322,2,0.08925869894099848,0.08521180356454042
2024-05-01,115,2058,4,0.05587949465500486,0.08272829155360577
2024-05-02,112,1882,3,0.05951115834218916,0.07652400324954876
2024-05-03,126,1086,3,0.11602209944751381,0.06722058518805021
2024-05-04,108,1559,2,0.06927517639512508,0.06757844091086755
2024-05-05,80,2456,0,0.03257328990228013,0.06624673063328092
2024-05-06,126,2034,0,0.061946902654867256,0.06920954576256841
2024-05-07,155,2221,2,0.06978838361098605,0.0664280721439952
2024-05-08,215,2002,3,0.10739260739260739,0.07378708824936699
2024-05-09,179,1795,3,0.09972144846796657,0.07953141541019233
2024-05-10,161,1206,3,0.13349917081260365,0.08202813989091946
2024-05-11,155,1587,1,0.0976685570258349,0.086084337123878
2024-05-12,88,2562,1,0.03434816549570648,0.08633789078008178
2024-05-13,89,2161,1,0.04118463674224896,0.08337185279256487
2024-05-14,222,2173,0,0.10216290842153705,0.08799678490835787
2024-05-15,231,2560,0,0.090234375,0.0855456088522711
2024-05-16,207,1580,1,0.1310126582278481,0.09001578167511133
2024-05-17,229,1316,0,0.17401215805471124,0.09580335128112669
2024-05-18,164,1655,0,0.09909365558912386,0.09600693679016796
2024-05-19,95,3076,0,0.030884265279583874,0.09551209390215044
2024-05-20,150,2306,0,0.06504770164787511,0.09892110317438275
2024-05-21,237,1911,0,0.12401883830455258,0.1020433788719564
2024-05-22,195,2845,0,0.06854130052724078,0.09894436823299081
2024-05-23,222,2088,0,0.10632183908045977,0.09541710835479246
2024-05-24,247,1611,1,0.15332091868404718,0.09246121701612618
2024-05-25,222,1878,1,0.1182108626198083,0.09519224659193824
2024-05-26,156,2538,0,0.061465721040189124,0.09956102598631042
2024-05-27,212,2531,2,0.08376135914658238,0.10223440562898288
2024-05-28,255,2434,1,0.1047658175842235,0.0994839740975073
2024-05-29,310,2723,2,0.11384502387073081,0.10595593457514874
2024-05-30,332,2209,1,0.15029425079221367,0.11223770767682785
